;;;;;;;;;;;;;;
Rubrik;"Kommunmottagna enligt ersättningsförordningen 2018.
Uppdelad på län/kommun och kategori.";;;;;;;;;;;;;
Uppdaterad;2019-03-25 10.55;;;;;;;;;;;;;
;"Kommunerna har rätt till statlig ersättning för mottagande av utländska medborgare som beviljats uppehållstillstånd i Sverige som flyktingar, skyddsbehövande, efter synnerligen ömmande omständigheter eller som anhöriga. Det följer av förordningen (2010:1122) om statlig ersättning för insatser för vissa utlänningar. 
För mer detaljerad beskrivning, se fliken ""Förklaringar och begrepp"".  ";;;;;;;;;;;;;
;Ensamkommande barn: I sammanställning över mottagna ensamkommande barn och ungdomar, finns även personer över 18 år. Främst är det personer som har beslut om fortsatt vård efter att ha kommit som ensamkommande, men det kan även förekomma att det finns med andra personer som har/har haft god man tillförordnad av andra skäl.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;Kvotflykting (Kategori 1);varav ensamk barn;Person från anläggningsboende (ABO) i Migrations-verkets mottagningssystem (Kategori 2);varav ensamk barn;Person från eget boende (EBO) i Migrations-verkets mottagningssystem (Kategori 6);varav ensamk barn;Övriga (Kategori 3 och 8);varav ensamk barn;Anhöriga (Kategori 4);varav ensamk barn;Totalt;varav ensamk barn
BLEKINGE LÄN;;KARLSHAMN;6;;11;1;28;6;13;7;112;;170;14
;;KARLSKRONA;16;;51;16;42;8;28;23;69;;206;47
;;OLOFSTRÖM;;;2;2;30;;11;2;50;;93;4
;;RONNEBY;;;14;9;64;3;17;8;160;;255;20
;;SÖLVESBORG;6;;14;6;3;1;7;6;38;;68;13
BLEKINGE LÄN;;Delsumma;28;;92;34;167;18;76;46;429;;792;98
;;;;;;;;;;;;;;
DALARNAS LÄN;;AVESTA;1;1;3;;38;9;13;11;138;;193;21
;;BORLÄNGE;7;1;21;5;41;11;10;9;115;;194;26
;;FALUN;51;1;68;8;34;21;17;16;38;;208;46
;;GAGNEF;9;;11;1;3;1;6;6;17;;46;8
;;HEDEMORA;;;6;5;24;8;5;2;36;;71;15
;;LEKSAND;8;;33;4;16;5;8;6;16;;81;15
;;LUDVIKA;1;1;3;3;22;3;10;7;137;;173;14
;;MALUNG-SÄLEN;13;;12;4;8;2;9;7;15;;57;13
;;MORA;20;;30;4;15;8;7;7;7;;79;19
;;ORSA;6;;2;;5;1;4;4;24;;41;5
;;RÄTTVIK;8;;6;;12;4;3;2;15;;44;6
;;SMEDJEBACKEN;6;;14;4;6;2;17;17;24;;67;23
;;SÄTER;1;;15;1;4;2;4;4;14;;38;7
;;VANSBRO;;;9;3;11;4;5;5;10;;35;12
;;ÄLVDALEN;9;4;13;1;17;1;3;3;12;;54;9
DALARNAS LÄN;;Delsumma;140;8;246;43;256;82;121;106;618;;1 381;239
;;;;;;;;;;;;;;
GOTLANDS LÄN;;GOTLAND;51;;84;17;41;15;36;28;62;;274;60
GOTLANDS LÄN;;Delsumma;51;;84;17;41;15;36;28;62;;274;60
;;;;;;;;;;;;;;
GÄVLEBORGS LÄN;;BOLLNÄS;;;14;9;49;3;8;6;95;;166;18
;;GÄVLE;20;1;50;17;94;19;29;20;136;;329;57
;;HOFORS;6;;8;1;9;3;2;2;18;;43;6
;;HUDIKSVALL;16;3;30;8;16;11;16;12;62;;140;34
;;LJUSDAL;16;;34;5;18;3;6;4;26;;100;12
;;NORDANSTIG;6;;15;1;6;4;3;3;32;;62;8
;;OCKELBO;1;;11;2;1;1;2;1;21;;36;4
;;OVANÅKER;3;;5;1;11;2;4;4;59;;82;7
;;SANDVIKEN;2;;21;8;37;8;10;9;118;;188;25
;;SÖDERHAMN;4;;6;4;36;4;7;5;54;;107;13
GÄVLEBORGS LÄN;;Delsumma;74;4;194;56;277;58;87;66;621;;1 253;184
;;;;;;;;;;;;;;
HALLANDS LÄN;;FALKENBERG;3;;32;11;33;8;8;4;88;;164;23
;;HALMSTAD;26;;77;11;82;7;51;30;171;;407;48
;;HYLTE;2;;9;3;7;2;6;1;65;;89;6
;;KUNGSBACKA;89;;214;9;20;7;19;13;54;;396;29
;;LAHOLM;5;;11;5;7;4;5;4;43;;71;13
;;VARBERG;53;2;74;8;17;8;17;14;48;;209;32
HALLANDS LÄN;;Delsumma;178;2;417;47;166;36;106;66;469;;1 336;151
;;;;;;;;;;;;;;
JÄMTLANDS LÄN;;BERG;;;14;4;8;2;3;2;7;;32;8
;;BRÄCKE;;;11;1;7;2;9;8;11;;38;11
;;HÄRJEDALEN;;;6;3;9;;2;2;30;;47;5
;;KROKOM;7;;19;4;9;3;4;4;37;;76;11
;;RAGUNDA;5;;1;1;9;6;3;2;6;;24;9
;;STRÖMSUND;3;;8;6;9;4;6;5;23;;49;15
;;ÅRE;19;;14;8;26;4;9;9;50;;118;21
;;ÖSTERSUND;30;8;69;16;23;4;26;21;73;;221;49
JÄMTLANDS LÄN;;Delsumma;64;8;142;43;100;25;62;53;237;;605;129
;;;;;;;;;;;;;;
JÖNKÖPINGS LÄN;;ANEBY;;;10;4;5;4;2;1;27;;44;9
;;EKSJÖ;2;;11;7;22;4;14;4;71;;120;15
;;GISLAVED;10;;5;2;37;11;23;13;128;;203;26
;;GNOSJÖ;;;7;3;19;3;2;;19;;47;6
;;HABO;9;;25;4;9;3;8;5;7;;58;12
;;JÖNKÖPING;51;1;158;39;100;23;51;42;134;;494;105
;;MULLSJÖ;4;;12;2;2;1;2;1;9;;29;4
;;NÄSSJÖ;;;4;4;62;5;19;6;116;;201;15
;;SÄVSJÖ;;;7;3;52;3;15;8;74;;148;14
;;TRANÅS;8;;18;8;20;12;25;15;34;;105;35
;;VAGGERYD;9;;10;4;4;4;11;11;6;;40;19
;;VETLANDA;;;13;5;55;7;20;9;79;;167;21
;;VÄRNAMO;33;;47;17;20;4;10;7;41;;151;28
JÖNKÖPINGS LÄN;;Delsumma;126;1;327;102;407;84;202;122;745;;1 807;309
;;;;;;;;;;;;;;
KALMAR LÄN;;BORGHOLM;3;;9;2;14;2;3;2;40;;69;6
;;EMMABODA;;;4;4;11;2;5;5;57;;77;11
;;HULTSFRED;4;2;7;3;31;3;19;8;62;;123;16
;;HÖGSBY;;;7;3;7;;9;4;31;;54;7
;;KALMAR;34;;87;12;40;9;16;9;103;;280;30
;;MÖNSTERÅS;;;3;1;18;2;15;8;52;;88;11
;;MÖRBYLÅNGA;6;;10;3;7;5;5;5;21;;49;13
;;NYBRO;;;1;;42;2;9;5;75;;127;7
;;OSKARSHAMN;;;19;5;22;4;10;4;65;;116;13
;;TORSÅS;;;4;1;1;;4;3;33;;42;4
;;VIMMERBY;1;;2;1;19;3;7;3;42;;71;7
;;VÄSTERVIK;;;18;3;29;2;13;9;82;;142;14
KALMAR LÄN;;Delsumma;48;2;171;38;241;34;115;65;663;;1 238;139
;;;;;;;;;;;;;;
KRONOBERGS LÄN;;ALVESTA;;;6;5;39;6;11;4;33;;89;15
;;LESSEBO;;;1;1;18;2;6;1;74;;99;4
;;LJUNGBY;10;;22;3;12;6;9;8;60;;113;17
;;MARKARYD;;;4;4;10;3;2;1;57;;73;8
;;TINGSRYD;;;18;5;15;2;2;2;20;;55;9
;;UPPVIDINGE;6;;9;1;15;1;4;2;53;;87;4
;;VÄXJÖ;16;;114;15;125;21;43;27;159;;457;63
;;ÄLMHULT;6;;13;4;18;4;3;2;59;;99;10
KRONOBERGS LÄN;;Delsumma;38;;187;38;252;45;80;47;515;;1 072;130
;;;;;;;;;;;;;;
NORRBOTTENS LÄN;;ARJEPLOG;2;;5;2;3;3;4;4;;;14;9
;;ARVIDSJAUR;9;;7;3;8;1;5;4;22;;51;8
;;BODEN;2;;31;14;21;6;24;19;45;1;123;40
;;GÄLLIVARE;12;;41;7;3;;3;2;26;;85;9
;;HAPARANDA;;;6;5;11;1;13;13;37;;67;19
;;JOKKMOKK;;;8;4;2;2;8;4;1;;19;10
;;KALIX;11;;19;6;3;1;3;3;8;;44;10
;;KIRUNA;15;;28;1;11;2;17;13;38;;109;16
;;LULEÅ;73;5;109;23;19;8;18;17;68;;287;53
;;PAJALA;19;;13;2;7;3;;;19;;58;5
;;PITEÅ;35;9;54;14;16;4;17;15;42;;164;42
;;ÄLVSBYN;;;10;4;10;;6;2;4;;30;6
;;ÖVERKALIX;4;1;2;1;3;1;1;1;8;;18;4
;;ÖVERTORNEÅ;11;;11;9;;;;;9;;31;9
NORRBOTTENS LÄN;;Delsumma;193;15;344;95;117;32;119;97;327;1;1 100;240
;;;;;;;;;;;;;;
SKÅNE LÄN;;BJUV;5;;6;1;9;2;10;;32;;62;3
;;BROMÖLLA;;;12;3;11;1;2;1;66;;91;5
;;BURLÖV;3;;21;8;21;3;15;2;183;;243;13
;;BÅSTAD;4;;11;3;8;2;5;3;13;;41;8
;;ESLÖV;17;;40;10;19;5;5;5;83;;164;20
;;HELSINGBORG;40;;79;11;109;12;40;16;329;;597;39
;;HÄSSLEHOLM;;;14;6;36;11;9;5;163;;222;22
;;HÖGANÄS;12;1;31;4;5;3;11;9;65;;124;17
;;HÖRBY;9;;12;2;6;1;2;1;12;;41;4
;;HÖÖR;10;;13;2;11;2;12;7;18;;64;11
;;KLIPPAN;6;;19;8;6;1;4;3;36;;71;12
;;KRISTIANSTAD;19;2;52;23;62;15;26;18;169;;328;58
;;KÄVLINGE;47;;81;6;9;;2;2;32;;171;8
;;LANDSKRONA;16;;16;5;36;1;9;7;66;;143;13
;;LOMMA;22;;85;8;4;3;5;5;15;;131;16
;;LUND;123;1;283;21;31;11;14;11;154;1;605;45
;;MALMÖ;42;;194;64;494;46;70;34;688;;1 488;144
;;OSBY;;;7;2;9;1;1;;38;;55;3
;;PERSTORP;;;5;1;20;1;3;1;71;;99;3
;;SIMRISHAMN;;;7;3;14;3;9;7;44;;74;13
;;SJÖBO;12;;33;4;1;1;2;1;24;;72;6
;;SKURUP;11;;21;2;10;2;9;2;27;;78;6
;;STAFFANSTORP;22;4;55;4;4;1;2;2;6;;89;11
;;SVALÖV;5;;8;4;2;1;6;4;40;;61;9
;;SVEDALA;20;;26;3;2;1;1;1;32;;81;5
;;TOMELILLA;2;;14;9;5;3;7;7;31;;59;19
;;TRELLEBORG;28;;57;8;10;3;8;6;54;;157;17
;;VELLINGE;40;;105;6;3;1;6;6;30;;184;13
;;YSTAD;16;;12;1;10;3;4;3;67;;109;7
;;ÅSTORP;;;2;2;24;6;4;3;35;;65;11
;;ÄNGELHOLM;25;;53;8;12;2;9;4;69;;168;14
;;ÖRKELLJUNGA;;;10;4;11;8;9;2;31;;61;14
;;ÖSTRA GÖINGE;1;;7;1;46;11;4;3;175;1;233;16
SKÅNE LÄN;;Delsumma;557;8;1 391;247;1 060;167;325;181;2 898;2;6 231;605
;;;;;;;;;;;;;;
STOCKHOLMS LÄN;;BOTKYRKA;31;1;56;14;169;8;28;17;89;;373;40
;;DANDERYD;51;;85;4;16;2;4;2;4;;160;8
;;EKERÖ;31;;101;5;3;1;11;10;42;;188;16
;;HANINGE;71;;131;21;50;6;16;11;59;;327;38
;;HUDDINGE;75;;134;27;85;11;39;30;195;;528;68
;;JÄRFÄLLA;39;;81;29;76;16;39;28;138;;373;73
;;LIDINGÖ;56;;94;8;8;5;10;10;15;;183;23
;;NACKA;86;1;153;12;33;4;18;11;99;;389;28
;;NORRTÄLJE;66;;73;7;18;12;25;24;90;;272;43
;;NYKVARN;9;;17;1;2;;1;1;11;;40;2
;;NYNÄSHAMN;21;;40;4;5;3;8;7;30;;104;14
;;SALEM;14;;22;2;2;;3;2;17;;58;4
;;SIGTUNA;21;;50;10;48;5;5;2;63;;187;17
;;SOLLENTUNA;42;;93;13;60;4;13;12;103;;311;29
;;SOLNA;51;;143;19;30;3;15;15;37;;276;37
;;STOCKHOLM;602;13;1 148;168;584;109;282;227;717;;3 333;517
;;SUNDBYBERG;17;;44;7;48;3;13;8;70;;192;18
;;SÖDERTÄLJE;;;15;12;175;11;33;18;131;;354;41
;;TYRESÖ;48;;184;11;16;3;16;13;38;;302;27
;;TÄBY;71;1;168;10;21;8;17;14;15;;292;33
;;UPPLANDS-BRO;27;1;35;12;19;6;12;11;21;;114;30
;;UPPLANDS-VÄSBY;25;1;55;10;39;12;18;14;32;;169;37
;;VALLENTUNA;34;;72;7;4;3;9;8;3;;122;18
;;VAXHOLM;12;;20;1;2;1;1;1;2;;37;3
;;VÄRMDÖ;73;;70;3;12;5;25;25;13;;193;33
;;ÖSTERÅKER;53;;86;11;27;11;21;20;27;;214;42
STOCKHOLMS LÄN;;Delsumma;1 626;18;3 170;428;1 552;252;682;541;2 061;;9 091;1 239
;;;;;;;;;;;;;;
SÖDERMANLANDS LÄN;;ESKILSTUNA;2;;50;48;199;22;34;21;267;;552;91
;;FLEN;;;13;10;49;7;7;5;41;;110;22
;;GNESTA;4;;16;6;5;4;8;8;21;;54;18
;;KATRINEHOLM;4;;14;8;36;5;15;5;85;;154;18
;;NYKÖPING;24;;64;31;29;11;19;12;93;;229;54
;;OXELÖSUND;;;4;4;24;5;6;5;55;;89;14
;;STRÄNGNÄS;18;;36;8;24;5;5;4;31;;114;17
;;TROSA;18;;23;5;;;;;20;;61;5
;;VINGÅKER;;;4;3;3;2;11;5;45;;63;10
SÖDERMANLANDS LÄN;;Delsumma;70;;224;123;369;61;105;65;658;;1 426;249
;;;;;;;;;;;;;;
UPPSALA LÄN;;ENKÖPING;25;;65;16;10;5;20;16;59;;179;37
;;HEBY;7;;24;5;7;4;7;7;10;;55;16
;;HÅBO;20;1;36;4;3;3;9;7;18;;86;15
;;KNIVSTA;18;;23;2;5;1;10;8;9;;65;11
;;TIERP;10;;18;4;7;6;14;9;51;3;100;22
;;UPPSALA;104;1;240;73;150;56;108;93;314;4;916;227
;;ÄLVKARLEBY;2;;6;1;7;1;11;11;39;;65;13
;;ÖSTHAMMAR;31;;30;3;7;2;3;3;11;;82;8
UPPSALA LÄN;;Delsumma;217;2;442;108;196;78;182;154;511;7;1 548;349
;;;;;;;;;;;;;;
VÄRMLANDS LÄN;;ARVIKA;3;;16;4;13;4;7;6;29;;68;14
;;EDA;9;;8;1;3;;;;15;;35;1
;;FILIPSTAD;;;8;6;8;2;7;1;55;;78;9
;;FORSHAGA;5;;14;5;2;1;;;20;;41;6
;;GRUMS;9;2;12;2;4;1;1;;6;;32;5
;;HAGFORS;;;8;;9;2;2;1;24;;43;3
;;HAMMARÖ;4;;13;3;2;2;3;3;4;;26;8
;;KARLSTAD;32;3;86;19;37;8;14;11;28;;197;41
;;KIL;9;;;;5;4;7;7;5;;26;11
;;KRISTINEHAMN;8;;26;1;18;3;18;12;52;;122;16
;;MUNKFORS;6;;1;1;6;1;1;;10;;24;2
;;STORFORS;5;;5;1;4;;1;1;1;;16;2
;;SUNNE;4;;5;1;5;5;18;18;32;;64;24
;;SÄFFLE;3;;5;3;44;;8;7;68;;128;10
;;TORSBY;3;;8;1;6;2;4;3;8;;29;6
;;ÅRJÄNG;12;;11;2;5;1;5;5;15;;48;8
VÄRMLANDS LÄN;;Delsumma;112;5;226;50;171;36;96;75;372;;977;166
;;;;;;;;;;;;;;
VÄSTERBOTTENS LÄN;;BJURHOLM;;;11;1;;;1;1;8;;20;2
;;DOROTEA;11;;7;2;3;1;;;6;;27;3
;;LYCKSELE;15;1;32;7;8;2;5;5;24;;84;15
;;MALÅ;11;5;5;;1;1;;;13;;30;6
;;NORDMALING;12;3;15;5;4;2;3;3;13;;47;13
;;NORSJÖ;5;;7;2;;;2;2;3;;17;4
;;ROBERTSFORS;9;;15;4;1;1;2;2;10;;37;7
;;SKELLEFTEÅ;37;8;92;15;39;9;23;19;107;;298;51
;;SORSELE;9;;5;5;1;1;;;;;15;6
;;STORUMAN;25;;3;3;3;3;6;6;9;;46;12
;;UMEÅ;53;;130;26;63;13;39;32;120;;405;71
;;VILHELMINA;15;;1;;6;4;5;5;14;;41;9
;;VINDELN;3;;10;4;14;4;4;4;10;;41;12
;;VÄNNÄS;6;4;18;10;3;3;5;5;9;;41;22
;;ÅSELE;4;;5;4;4;1;1;1;1;;15;6
VÄSTERBOTTENS LÄN;;Delsumma;215;21;356;88;150;45;96;85;347;;1 164;239
;;;;;;;;;;;;;;
VÄSTERNORRLANDS LÄN;;HÄRNÖSAND;18;;32;10;26;2;8;5;71;;155;17
;;KRAMFORS;9;;21;12;17;1;11;7;60;;118;20
;;SOLLEFTEÅ;17;1;30;9;23;2;16;14;84;;170;26
;;SUNDSVALL;9;;110;30;51;4;36;28;89;;295;62
;;TIMRÅ;5;;20;10;13;2;10;7;32;;80;19
;;ÅNGE;5;1;9;4;9;2;13;11;30;;66;18
;;ÖRNSKÖLDSVIK;19;4;57;12;34;9;25;21;116;;251;46
VÄSTERNORRLANDS LÄN;;Delsumma;82;6;279;87;173;22;119;93;482;;1 135;208
;;;;;;;;;;;;;;
VÄSTMANLANDS LÄN;;ARBOGA;;;;;17;;4;1;29;;50;1
;;FAGERSTA;;;9;4;15;;3;;104;;131;4
;;HALLSTAHAMMAR;6;;20;9;2;1;9;9;35;;72;19
;;KUNGSÖR;;;2;2;4;;3;2;42;;51;4
;;KÖPING;6;;18;3;25;2;4;4;57;;110;9
;;NORBERG;;;7;1;7;1;16;4;36;;66;6
;;SALA;7;;15;9;17;5;20;16;64;;123;30
;;SKINNSKATTEBERG;;;3;2;3;2;6;5;9;;21;9
;;SURAHAMMAR;2;;15;4;2;1;3;3;13;;35;8
;;VÄSTERÅS;36;1;127;32;157;16;66;51;229;;615;100
VÄSTMANLANDS LÄN;;Delsumma;57;1;216;66;249;28;134;95;618;;1 274;190
;;;;;;;;;;;;;;
VÄSTRA GÖTALANDS LÄN;;ALE;21;;46;8;19;4;7;7;33;;126;19
;;ALINGSÅS;32;;61;10;24;9;26;23;30;;173;42
;;BENGTSFORS;;;3;1;7;3;3;1;64;;77;5
;;BOLLEBYGD;8;;24;4;2;1;1;1;9;;44;6
;;BORÅS;28;;115;27;102;16;37;23;189;;471;66
;;DALS-ED;4;;1;;2;2;2;2;17;;26;4
;;ESSUNGA;8;;11;;2;1;6;4;9;;36;5
;;FALKÖPING;4;;13;6;39;4;17;10;113;;186;20
;;FÄRGELANDA;;;8;1;2;1;2;2;24;;36;4
;;GRÄSTORP;2;;10;4;3;3;5;5;1;;21;12
;;GULLSPÅNG;;;9;8;4;;4;3;32;;49;11
;;GÖTEBORG;219;4;526;118;583;76;217;157;880;;2 425;355
;;GÖTENE;;;8;3;10;5;2;2;28;;48;10
;;HERRLJUNGA;3;;12;1;5;4;7;7;10;;37;12
;;HJO;7;;10;4;1;1;2;2;8;;28;7
;;HÄRRYDA;36;;119;6;10;6;12;6;18;;195;18
;;KARLSBORG;;;;;16;10;2;2;15;;33;12
;;KUNGÄLV;70;;97;13;13;4;18;13;26;;224;30
;;LERUM;60;2;99;13;9;7;12;12;33;;213;34
;;LIDKÖPING;30;;36;8;13;8;17;16;38;;134;32
;;LILLA EDET;13;;17;4;3;;4;4;5;;42;8
;;LYSEKIL;;;9;2;14;3;8;4;33;;64;9
;;MARIESTAD;11;;28;7;4;3;7;4;14;;64;14
;;MARK;33;;39;5;22;6;9;8;40;;143;19
;;MELLERUD;2;;1;1;9;1;5;2;36;;53;4
;;MUNKEDAL;;;;;3;2;4;3;36;;43;5
;;MÖLNDAL;64;;98;19;28;6;15;13;68;;273;38
;;ORUST;11;;15;2;3;1;5;5;12;;46;8
;;PARTILLE;37;;105;10;24;8;16;16;72;;254;34
;;SKARA;;;10;3;11;3;19;4;43;;83;10
;;SKÖVDE;30;;55;9;31;3;12;9;53;;181;21
;;SOTENÄS;6;;12;2;5;1;8;8;7;;38;11
;;STENUNGSUND;17;;19;4;7;3;11;11;19;;73;18
;;STRÖMSTAD;9;;12;;14;7;3;3;12;;50;10
;;SVENLJUNGA;;;7;4;4;1;9;6;28;;48;11
;;TANUM;10;;12;1;13;4;6;5;32;;73;10
;;TIBRO;;;;;8;1;6;6;32;;46;7
;;TIDAHOLM;;;6;2;19;2;16;12;27;;68;16
;;TJÖRN;13;;8;2;8;7;8;7;56;;93;16
;;TRANEMO;5;;12;3;13;1;12;5;29;;71;9
;;TROLLHÄTTAN;11;;30;13;32;14;12;10;114;;199;37
;;TÖREBODA;1;;9;3;5;3;7;5;17;;39;11
;;UDDEVALLA;7;;23;10;42;10;24;21;95;;191;41
;;ULRICEHAMN;5;;30;13;23;7;11;9;26;;95;29
;;VARA;18;;13;1;2;1;5;5;6;;44;7
;;VÅRGÅRDA;4;;14;4;10;9;8;6;13;;49;19
;;VÄNERSBORG;;;7;6;30;6;43;35;150;;230;47
;;ÅMÅL;;;1;1;16;2;3;3;46;;66;6
;;ÖCKERÖ;17;;28;3;10;7;4;4;8;;67;14
VÄSTRA GÖTALANDS LÄN;;Delsumma;856;6;1 828;369;1 279;287;699;531;2 706;;7 368;1 193
;;;;;;;;;;;;;;
ÖREBRO LÄN;;ASKERSUND;;;11;3;5;2;1;1;32;;49;6
;;DEGERFORS;;;4;4;25;6;7;7;27;;63;17
;;HALLSBERG;7;2;13;2;6;2;6;2;45;;77;8
;;HÄLLEFORS;;;4;3;30;2;7;2;42;;83;7
;;KARLSKOGA;2;;8;;19;8;5;5;65;;99;13
;;KUMLA;11;2;32;9;15;4;8;8;31;;97;23
;;LAXÅ;14;;31;5;5;;5;2;4;;59;7
;;LEKEBERG;7;;13;1;3;2;2;2;14;;39;5
;;LINDESBERG;;;8;4;37;2;12;10;57;;114;16
;;LJUSNARSBERG;;;;;5;;2;2;10;;17;2
;;NORA;;;3;;2;1;4;4;29;;38;5
;;ÖREBRO;74;5;141;19;172;25;45;37;135;;567;86
ÖREBRO LÄN;;Delsumma;115;9;268;50;324;54;104;82;491;;1 302;195
;;;;;;;;;;;;;;
ÖSTERGÖTLANDS LÄN;;BOXHOLM;2;;5;3;3;;1;1;14;;25;4
;;FINSPÅNG;;;22;10;17;1;17;12;53;;109;23
;;KINDA;12;;14;3;4;;4;2;23;;57;5
;;LINKÖPING;107;;246;62;97;28;27;18;149;;626;108
;;MJÖLBY;24;;45;5;14;6;14;12;8;;105;23
;;MOTALA;13;;26;9;25;7;19;11;111;;194;27
;;NORRKÖPING;;;44;23;105;15;49;35;290;;488;73
;;SÖDERKÖPING;13;;27;5;6;4;2;2;15;;63;11
;;VADSTENA;6;;12;1;9;4;2;2;7;;36;7
;;VALDEMARSVIK;;;5;5;11;1;3;3;34;;53;9
;;YDRE;;;8;4;8;5;7;7;1;;24;16
;;ÅTVIDABERG;4;;5;1;3;2;4;3;11;;27;6
;;ÖDESHÖG;;;5;5;10;2;4;4;16;;35;11
ÖSTERGÖTLANDS LÄN;;Delsumma;181;;464;136;312;75;153;112;732;;1 842;323
;;;;;;;;;;;;;;
;;Totalt;5 028;116;11 068;2 265;7 859;1 534;3 699;2 710;16 562;10;44 216;6 635
;;;;;;;;;;;;;;
